Iteration,Timestep,StratumId,SecondaryStratumId,TertiaryStratumId,DistributionTypeId,ExternalVariableTypeId,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeId,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,,,,Agriculture_expansion Distribution,,,,0,,,,,,2
,,,,,Agriculture_expansion Distribution,,,,0.03632,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.070806,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.080089,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.27102,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.289934,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.449517,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.459851,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.520633,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.525452,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.545841,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.561647,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.570147,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.683538,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.746805,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.75143,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.80259,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.833397,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.860931,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.926632,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.971082,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.979631,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.982239,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,0.986634,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.038925,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.152251,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.18034,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.189986,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.191407,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.200795,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.228071,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.263196,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.278297,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.282911,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.303006,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.309585,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.344614,,,,,,1
,,,,,Agriculture_expansion Distribution,,,,1.34533,,,,,,1
