Iteration,Timestep,StratumIdSource,StateClassIdSource,StratumIdDest,StateClassIdDest,SecondaryStratumId,TertiaryStratumId,TransitionTypeId,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Aquaculture:All,,Cropland:All,,,Agriculture_expansion,0.017282,,,,,,,,
,,,Aquaculture:All,,Mangrove:All,,,Mangrove_recruitment,0.005397,,,,,,,,
,,,Aquaculture:All,,Other_vegetation:All,,,Colonization,0.001,,,,,,,,
,,,Aquaculture:All,,Settlement:All,,,Urbanization,0.000158,,,,,,,,
,,,Cropland:All,,Aquaculture:All,,,Aquaculture_expansion,0.017501,,,,,,,,
,,,Cropland:All,,Other_vegetation:All,,,Colonization,0.001,,,,,,,,
,,,Cropland:All,,Settlement:All,,,Urbanization,0.002759,,,,,,,,
,,,Mangrove:All,,Aquaculture:All,,,Aquaculture_expansion,0.013293,,,,,,,,
,,,Mangrove:All,,Settlement:All,,,Urbanization,2.9E-05,,,,,,,,
,,,Mangrove:All,,Tidal_flat:All,,,Inundation,0.004678,,,,,,,,
,,,Mangrove:All,,Water_body:All,,,Inundation,0.008865,,,,,,,,
,,,Other_vegetation:All,,Aquaculture:All,,,Aquaculture_expansion,0.128114,,,,,,,,
,,,Other_vegetation:All,,Cropland:All,,,Agriculture_expansion,0.169338,,,,,,,,
,,,Other_vegetation:All,,Settlement:All,,,Urbanization,0.004172,,,,,,,,
,,,Tidal_flat:All,,Mangrove:All,,,Mangrove_recruitment,0.009564,,,,,,,,
,,,Water_body:All,,Mangrove:All,,,Mangrove_recruitment,0.001176,,,,,,,,
,,,Water_body:All,,Tidal_flat:All,,,Sedimentation,0.003408,,,,,,,,
